No.,Texto
1,"There was a 70% drop in 2023… However, since the approval of the Exception Regime, there has been a 86% drop, and since we entered the government in 2019, the drop has reached 95%. We project a 97% drop for 2024. Receipts: https://t.co/SMlpyQcaf6"
2,We just did 🤷🏻‍♂️
3,"Durante el medio siglo de guerra que vivió nuestro país, siempre nos dijeron que era imposible vivir diferente.  Ahora que al fin lo hemos logrado, hacen todo lo posible para que volvamos al pasado.  During the half century of war that our country endured, we were always told that living differently was impossible.  Now that we have finally achieved it, they do everything possible to make us return to the past."
4,"If you're interested in what's happening in El Salvador, I recommend this article by @GraduatedBen on @im_1776.  ""BUKELE'S WAR FOR PEACE"" https://im1776.com/el-salvador-history/"
5,"""Amnistía Internacional acepta que la estrategia de seguridad de Bukele funcionó, pero dice que no será el primer programa en la historia de la humanidad que no requiera ningún tipo de mantenimiento"".  Lo mismo, dicho de otra forma 😘"
6,Hoy cumplimos 2 años del Régimen de Excepción 🇸🇻  Today we mark 2 years of the Exception Regime 🇸🇻
7,La embarcación que transportaba la droga ya está en tierra.  La cocaína será destruida y la lancha pasará a nuestra Marina Nacional para ser usada en el combate al narcotráfico.  Los detenidos serán procesados conforme a la ley.  #PlanControlTerritorial
8,"Nuestra Marina Nacional incautó una lancha a 490 Millas Náuticas al Suroeste de la Bocana el Cordoncillo, Estero de Jaltepeque.  A bordo de la lancha narcotraficante se encontraban 9 tripulantes; entre ellos, 6 ecuatorianos y 3 guatemaltecos.  Se estima que contiene aproximadamente 1.48 toneladas de cocaína, valoradas en unos 37 millones de dólares.  #PlanControlTerritorial"
9,"Muchísimas gracias, amigos 🇸🇻🤝🏼🇪🇸  Aquí nos encargaremos de él 🙂"
10,"In a couple of weeks, this area will become the safest place in the safest country throughout the entire Western Hemisphere.  En unas semanas, esta área se convertirá en el lugar más seguro del país más seguro de todo el Hemisferio Occidental."
11,"Hace unos días, hubo dos homicidios en la zona norte de nuestro país. Ya capturamos a los dos culpables, miembros de la pandilla 18 Sureños.  En este momento, 5 mil soldados y mil policías han cercado los distritos de San José Cancasque, San Antonio Los Ranchos, Potonico y San Isidro Labrador, para desarticular esa clica por completo.  No nos vamos a detener hasta erradicar lo poco que aún queda de las pandillas."
12,"VERBATIM FROM THE ARTICLE:  ""The result is a paradox of punitive populism, in which democratically elected leaders with broad anticrime mandates undermine liberal democracy by adopting iron-fist policies that are not only popular but can also be effective. Iron-fist policies are widely appealing to publics accustomed to living in fear for their safety; such is the case for generations of Latin Americans, many of whom have not known a reality other than widespread extortions, kidnappings, and murders.""  A PARADOX???!!!  Seems that since we cut off all their attack angles, they're resorting to ""paradoxes"", untested examples from any nation's history, and a novel interpretation of ""democracy"" that ignores the will of the people and their wellbeing, yet makes a priority to protect the criminals and preserve corrupt bureaucracies and institutions by making it a taboo to change or reform them."
13,🇸🇻🤝🏼🇺🇸
14,"STATISTA has just published the murder rates for Latin America in 2023, placing El Salvador at the lowest on the chart 🇸🇻  SPOILER ALERT: The murder rate for 2024 is trending even lower.  STATISTA acaba de publicar las tasas de homicidios de América Latina para el 2023, colocando a El Salvador en el último lugar de la tabla 🇸🇻  ALERTA DE SPOILER: La tasa de homicidios para el 2024 lleva una tendencia aún más a la baja. https://www.statista.com/statistics/947781/homicide-rates-latin-america-caribbean-country/"
15,"We saw similar images in El Salvador a few years ago. Gangs bathing with the skulls of their victims.  All the ""experts"" said they couldn't be defeated, because they were an ""intrinsic part of our society"".  They were wrong.  We obliterated them.  The same must be done in Haiti."
16,"We can fix it.  But we'll need a UNSC resolution, the consent of the host country, and all the mission expenses to be covered."
17,KHA!!!!! 😂
18,"Febrero 2024 cierra convirtiéndose en el mes más seguro en toda la historia de nuestro país 🇸🇻  Con una tasa anualizada de 0.8 homicidios por cada 100,000 habitantes; menos que la mitad de Canadá y, por mucho, el país más seguro de todo el Hemisferio Occidental.  Gracias a Dios."
19,NATIONAL GEOGRAPHIC:  EL SALVADOR Y NEPAL VUELVEN A SER PAÍSES SEGUROS PARA VIAJAR: ASÍ HA CAMBIADO ESTE LISTADO  👇🏼 https://viajes.nationalgeographic.com.es/lifestyle/salvador-y-nepal-vuelven-a-ser-paises-seguros-para-viajar-asi-ha-cambiado-este-listado_20160
20,💪🏼
21,Excelente hilo del Senador Marco Rubio 🇸🇻🤝🏼🇺🇸 
22,Great thread by Senator Marco Rubio 🇸🇻🤝🏼🇺🇸 
23,CNN? 👀
24,🇸🇻🤝🏼🇺🇸 
25,"From being the most dangerous country in the world, to the safest in the Western Hemisphere 🇸🇻  De ser el país más peligroso del mundo, a ser el más seguro del Hemisferio Occidental 🇸🇻"
26,OK let's see:  World's highest murder rate = world's highest amount of murderers on the streets  Solution?   Put them all in jail so they can't kill anymore.  Result:  World's highest incarceration rate / safest country in the Western Hemisphere   It's not rocket science 🤷🏻‍♂️
27,"""Derechos Humanos""  ""Human Rights"""
28,👀 @LuisitoComunica visitó el CECOT...  (Video completo en su canal)
29,Enero está a un día de cerrar como el mes más seguro en toda la historia de El Salvador.  Primero Dios.
30,"La oposición ahora dice que es mentira que ellos quieren quitar el Régimen de Excepción.  Pero ellos mismos, todos ellos, lo afirmaron.  No permitamos que nos regresen al pasado."
31,"En lo que va del 2024, El Salvador tiene ya la tasa de homicidios más baja de todo el hemisferio occidental.  De continuar la tendencia, la tasa de homicidios sería de 1.6 por cada 100,000 habitantes."
32,Convertimos el país más inseguro del mundo en el país más seguro de todo el hemisferio occidental.  Dato mata relato.  Buenas noches 😘
33,"""He who saves his country violates no law""."
34,"""Por sus frutos los conoceréis"".  Si después de todo el luto, guerra, dolor, corrupción, extorsión, subdesarrollo y sangre, que la oposición trajo a nuestro país, desde que tenemos memoria...  Si después de ver cómo han votado en la Asamblea: en contra del Plan Control Territorial, en contra de la Guerra contra Pandillas, en contra del Régimen de Excepción, en contra de la reforma judicial, en contra de la elección del Fiscal General, en contra de la elección de la Corte Suprema, en contra de las leyes anti pandillas, en contra del equipo y armamento para la policía y la fuerza armada...  Sí después de todo eso, alguien sigue creyendo en ellos, esa persona no ve, porque no quiere ver; no cambiará.  Que vote por quien quiera y que la democracia decida cuál es el rumbo que debe llevar nuestro país."
35,Un mensaje a los salvadoreños 🇸🇻
36,"Pero, pero, si en El Salvador los jóvenes viven atemorizados por la dictadura..."
37,🇸🇻
38,En camino a ser el país más seguro del mundo.
39,Construyendo una nueva realidad diaria.  Shaping a new daily reality.
40,Hace algún tiempo...  Aplica para hoy.
41,Undergoing a transformation 🇸🇻  Viviendo una transformación 🇸🇻
42,Empezando a construir sobre las cenizas del pasado.  Beginning to build over the ashes of the past.
43,Nunca más.  Never again.
44,Así era El Salvador.  El Salvador used to be like this.
45,El Salvador es oficialmente el país más seguro de toda Latinoamérica.  Gracias a Dios.
46,El Salvador cierra el año más seguro en toda su historia y se convierte en el país con la tasa de homicidios más baja de toda Latinoamérica.
47,😘
48,"¡Llegamos a 500 días sin homicidios!  Y pensar que, en todo el gobierno anterior, no lograron tener un tan solo día sin homicidios.  Gracias a Dios, El Salvador ya es otro país.  Seguimos...  #GuerraContraPandillas"
49,Los salvadoreños hemos decidido no volver al pasado 🇸🇻
50,Noviembre 2023 cierra como el mes más seguro en toda la historia de El Salvador 🇸🇻
51,😉
52,Crime & the Economy. El Crimen y la Economía.
53,No es cierto que los problemas de nuestros países no tienen solución.
54,😉
55,"En El Salvador, a diferencia de la mayoría de países de Latinoamérica; nuestras cárceles son limpias, ordenadas, no hay abusos, ni insalubridad, ni golpes, ni asesinados (como a diario pasa en otros países). Abrimos constantemente nuestras instalaciones a la prensa nacional e internacional. Sin embargo, somos nosotros los criticados. ¿Quién los entiende? Tal vez su molestia es porque no permitimos que ordenen delitos desde las cárceles, que no haya drogas, armas, ni señal telefónica o de internet. Tal vez les molesta que no haya riñas con las que pueden justificar el asesinato de testigos. Tal vez les molesta que los pongamos en evidencia."
56,New weaponry just dropped…
57,This is how you treat a pedophile… Hit the translate botton👇🏼
58,"Este día presentamos al responsable del asesinato de Melissa, una niña de 7 años, residente de La Campanera. Esta persona estuvo detenida en 2001 y en 2005 por delitos de Violencia contra la Mujer, en los tiempos donde se ""respetaban"" los Derechos Humanos, donde el Sistema Judicial ""funcionaba"". Pues ese mismo sistema garantista dejó libre a este violador y asesino, DOS VECES; dando como resultado el más ruin y cobarde hecho, que cometió el día lunes. A ese sistema quieren que regresemos varios organismos internacionales y ONG ""defensoras"" de los Derechos Humanos. ¿Dónde están estos organismos ahorita? No hay pronunciamiento de NINGUNO por este caso; pero sí hay informes, reportes y pronunciamientos por todos los terroristas, violadores y asesinos que hemos detenido. Está claro que únicamente velan por los derechos de los delincuentes. En El Salvador haremos lo justo, siempre; reclame quien reclame."
59,"Desde esta madrugada, 3500 soldados y 500 policías han establecido 3 cercos de seguridad en: Popotlán y Valle Verde, en Apopa; y La Campanera, en Soyapango. Seguimos ejecutando la fase de #Extracción del Plan Control Territorial. No vamos a detenernos hasta capturar al último terrorista que quede. No permitiremos que pequeños remanentes se reagrupen y nos quiten la paz que tanto nos ha costado. #GuerraContraPandillas"
60,New weaponry just dropped…
61,Strong men create good times…
62,"Lo primordial es que se haga justicia y que los responsables paguen por sus crímenes; pero que esto también sirva como recordatorio de la importancia de la constante depuración de los malos elementos, que existen en todas las organizaciones humanas."
63,"El Salvador es, por mucho, el país más seguro de Latinoamérica, pero como en toda sociedad, aún hay sujetos que piensan que pueden cometer delitos y no enfrentar las consecuencias. Pero no en El Salvador; todos los que cometan delitos, serán castigados con todo el peso de la ley, no importa quiénes sean. Impunidad 0, esa es la meta."
64,🤔
65,"No shit, Sherlock!"
66,
67,"Ayer, en el Día de Nuestra Independencia, lanzamos la Fase 6 del Plan de Seguridad más exitoso del mundo 🇸🇻 Yesterday, on our Independence Day, we launched Phase 6 of the most successful Security Plan in the world 🇸🇻"
68,"In 2016, the @PeaceCorps had to leave our country do to rising insecurity. Now they are coming back to the safest country in Latin America, to help us with community economic development, education, and youth initiatives. Welcome back! 🇸🇻🇺🇸 https://sv.usembassy.gov/peace-corps-re-establishes-program-in-el-salvador/"
69,¿“Plan Bukele” en Perú?
70,"Está claro que el tema principal de DW es El Salvador. Pero, ¿por qué ocultan comentarios en todos los tuits que publican sobre nosotros? ¿No son los paladines de la libertad de expresión? En fin, para ver los comentarios ocultos, presione este ícono, dentro del tuit de DW."
71,Jajaja en este tuit también ocultaron los comentarios… ¿Ustedes también son periodistas o ya solamente se dedican al activismo político?
72,¿Y por qué borraron el tuit @UniNoticias?
73,"¿700,000? 😂"
74,"Pero, ¿por qué ocultan los comentarios?"
75,"Nuestras estrategias de seguridad han desarticulado a las pandillas, obligándolas a migrar de los grandes centros urbanos a esconderse en las zonas rurales de nuestro país, fuera de su hábitat natural. Estas últimas semanas, hemos identificado varios grupos de pandilleros que se esconden en el departamento de Cabañas, por lo que decidimos cercarlo completamente. 8000 hombres, entre policía y ejército, han acordonado más de 1000 kilómetros cuadrados. Ningún pandillero podrá salir, mientras nuestros equipos de extracción se encargan de sacarlos de sus escondites. La población honrada, visitantes y turistas no tienen nada que temer. La seguridad está garantizada. Dios bendiga a nuestro país 🇸🇻"
76,"Desde esta madrugada, 7000 soldados y 1000 policías han establecido un cerco de seguridad alrededor de todo el departamento de Cabañas. Su labor será evitar la salida de pandilleros del departamento y cortar todas las líneas de suministro de los grupos terroristas.

En las últimas semanas y producto de nuestra guerra contra pandillas, Cabañas se ha convertido en el lugar con mayor número de células terroristas, que han llegado ahí buscando sus áreas rurales para ocultarse.

El cerco se mantendrá mientras los operativos puedan extraer a todos los pandilleros. La población de Cabañas, sus visitantes y turistas pueden estar tranquilos y realizar sus actividades normalmente.

Este masivo cerco garantiza aún más la seguridad de la zona y no lo levantaremos hasta dar con todos los delincuentes. #PlanControlTerritorial #Fase5 #GuerraContraPandillas"
77,"Julio 2023 cierra como el mes más seguro en toda la historia de El Salvador. Si anualizamos la tasa de homicidios de enero a julio, El Salvador (hace poco el país más peligroso del mundo) tendría 2.2 homicidios anuales por cada 100,000 habitantes. El país más seguro de America."
78,"Un titular absurdo que se contradice con su mismo artículo, donde afirma que el 90% de los salvadoreños aprueban nuestro trabajo (ningún presidente en el mundo tiene una aprobación siquiera similar). En el pasado, ni siquiera un periodista de quinta hubiera firmado un artículo tan absurdo, pero la desesperación es grande. Como el mismo Washington Post publicó: “Y este es el problema: no solo los salvadoreños lo aman, políticos y funcionarios desde Honduras hasta Argentina han sido impresionados por el régimen de puño de hierro de Bukele, tentados por el rédito político que pudiera traer implementar las mismas tácticas en sus sociedades plagadas de crimen”. “Debemos hacer una contrapropuesta que tenga éxito en reducir el crimen, o los que estamos interesados en una respuesta democrática perderemos la batalla de la narrativa.” Esto no es periodismo, es simple activismo desesperado, ordenado por los que temen al poder del ejemplo."
79,"Pues este gobierno puede hacer dos cosas a la vez. Una buena estrategia de seguridad incluye la prevención y la represión directa del delito. Qué difícil ha de ser liderar un país, teniendo tan poco sentido común. Gracias a Dios los chilenos son más que su presidente."
80,What?!?! 😂 https://www.bloomberg.com/opinion/articles/2023-07-25/el-salvador-s-iron-fist-on-crime-will-crush-democracy-in-latin-america
81,I think you accidentally replaced the word “criminals” with “democracy” in your tweet.
82,"Invitamos a los colombianos de bien a que vengan a El Salvador, ya sea para vacacionar, invertir, trabajar o emigrar. Aquí tendrán seguridad jurídica, estabilidad política y seguridad física para ustedes y sus seres queridos; además de un país hermoso con gente amable y trabajadora. Pero los delincuentes, los narcos, los estafadores y algunos de los mal llamados “gestores de paz”, es mejor que no vengan a nuestro país a buscar problemas, porque nuestras cárceles los esperan."
83,"Los colombianos son nuestros hermanos, pero como en toda sociedad, siempre existe un pequeño porcentaje que quiere aprovecharse de los demás; algunos de ellos han venido a delinquir a nuestro país. Esas personas deberán enfrentar la justicia salvadoreña, reclame quien reclame."
84,"Some might argue that even though governments are more powerful, they are in fact weaker because they must respect human rights… Yeah sure! Tell that to the dozens of families killed in every building in Iraq because there was the POSSIBILITY of ONE terrorist being inside."
85,"Almost every government in the world is 10x to 1000x stronger than all of its criminals combined. The reason they don’t end crime is because they are colluded with it, or because they benefit from it. You pick the reason."
86,Everyone interested in El Salvador or on how we turned the world’s murder capital into the safest country in Latin America should read this thread 👇🏼
87,Your own article contains the answer: Country with the highest murder rate ≈ country with the highest number of criminals on the streets ≈ country with the highest number of persons that must be put in jail to stop the murders Am I going too fast? https://www.wsj.com/articles/the-country-with-the-highest-murder-rate-now-has-the-highest-incarceration-rate-b5401da7
88,"El Foro de São Paulo acaba de emitir una condena a El Salvador por “el desmantelamiento de los espacios democráticos, “cambiar de un modelo democrático al de un partido hegemónico” y por “violaciones a derechos humanos”. Sí, el Foro de São Paulo 😂 https://forodesaopaulo.org/situacion-social-y-politica-en-el-salvador/"
89,"Wouldn’t it be obvious that if we had the highest murder rate in the world, it was precisely because we had a lot of criminals on the streets that were supposed to be in jail in the first place? 🤷🏻‍♂️ It seems like basic logic has completely abandoned western civilization."
90,"Nuestra Marina Nacional acaba de incautar una lancha a 525 Millas Náuticas al Suroeste de la Bocana el Cordoncillo, Estero de Jaltepeque. Siendo esta la operación naval contra el narcotráfico más lejana de la costas salvadoreñas que nuestro país haya realizado. A bordo de la lancha narcotraficante se encontraban 6 tripulantes, 3 de ellos de nacionalidad ecuatoriana y 3 de nacionalidad mexicana. Se estima que contiene aproximadamente 1 tonelada de cocaína, valorada en unos 25,000,000 de dólares. #PlanControlTerritorial"
91,Mensaje a los periodistas / Message to journalists
92,"Nuestra @PNCSV, ubicó una caleta de cocaína en el caserío La Bocanita, cantón El Espino, Jucuarán, Usulután. En el procedimiento se capturó en flagrancia a Benjamin Franklin Blandón Ramírez, de 36 años. En estos momentos, se está procesando la evidencia para tener el dato exacto de la cantidad de cocaína encontrada, la cual es de alrededor 500 kilos."
93,"En mi discurso por 4 años de Gobierno, hice 3 propuestas: La tercera es que así como le declaramos la guerra a las pandillas, ahora le declaramos la guerra a la corrupción."
94,Lo prometimos… …y cumplimos.
95,"Prometimos que pagarían caro por el asesinato de nuestro héroe. Destruimos su clica, arrestamos a sus compañeros, arrestamos a su líder, y hoy, arrestamos a los 3 asesinos. Nunca más volverán a causar terror en nuestro país."
96,"En 2019 dijimos que esto pasaría, que se uniría ARENA y el FMLN (ARENA 2.0 le llamamos en ese momento); nos dijeron que era mentira, que sus ideales anti comunistas, unos, y revolucionarios, otros, no lo permitirían; que jamás serían lo mismo. Unos años después, consuman su unión. Una guerra civil que dejó 85,000 muertos, 1 millón de desplazados, 5 décadas de atraso, nuestra infraestructura destruida, el nacimiento de las pandillas y unos acuerdos de paz falsos, que nos sumergieron en 30 años más de pobreza y subdesarrollo. Dividieron a un país en dos y pusieron a que nos matáramos, entre hermanos; financiados (ambos) por poderes extranjeros. Todo eso, y muchas cosas más, para terminar en esto. Dios los perdone."
97,"Ante el homicidio ocurrido ayer, de un agente de nuestra @PNCSV, por parte de pandilleros que aún se encuentran en algunos sectores de nuestro país, escondidos, huyendo del Régimen de Excepción… Desde esta madrugada, establecimos un cerco de seguridad alrededor del municipio de Nueva Concepción, Chalatenango, con más de 5,000 elementos de la @FUERZARMADASV y 500 de la @PNCSV, en búsqueda de los responsables del homicidio y toda la estructura de pandilleros y colaboradores que aún se esconden en ese lugar. Pagarán caro por el asesinato de nuestro héroe."
98,"Que sepan todas las ONGs de “derechos humanos”, que vamos a arrasar con estos malditos asesinos y sus colaboradores, los meteremos en prisión y no saldrán jamás. No nos importan sus reportajes lastimeros, sus periodistas prepago, sus políticos marionetas, ni su famosa “comunidad internacional”, que jamás se preocupó por nuestra gente. Sanaremos nuestro país y eliminaremos esta peste por completo. Llévense sus recetas fracasadas para otro lado."
99,"Los pandilleros que aún quedan en nuestro país, acaban de asesinar a uno de nuestros héroes. Pero ahí no dirán nada las ONG de “derechos humanos”, ellos solo velan por los derechos de los criminales. ¿Ven por qué debemos continuar con el Régimen de Excepción hasta TERMINAR POR COMPLETO con esta peste? Este cobarde asesinato no quedará impune. Los haremos pagar caro lo que hicieron."
100,"We ended on May 10, 2023, with 0 homicides nationwide. With this, it's 365 days without homicides, a full year."
101,"Cerramos el 10 de mayo de 2023, con 0 homicidios a nivel nacional. Con este, son 365 días sin homicidios, todo un año."
102,El Salvador está a un día de cumplir un año completo sin homicidios en nuestro Gobierno.
103,"Ustedes escucharon el clamor de todo un pueblo. Atendieron el llamado a luchar en esta guerra, con honor y valentía. Decidieron poner el bienestar de todos, por encima del propio. Eligieron proteger la vida de los salvadoreños, incluso a costa de su propia vida. Y junto con nuestra @PNCSV, están logrando lo imposible. Nunca podremos pagarles todo lo que han hecho, pero sepan que serán recordados por siempre. Las próximas generaciones recordarán a quiénes rescataron nuestro país. Gracias por regresarnos nuestra dignidad, nuestra soberanía, nuestra libertad y nuestra paz. Dios los bendiga. ¡Feliz Día del Soldado Salvadoreño! 🇸🇻"
104,Sobre la @CIDH:
105,Abril 2023 se convierte en el mes más seguro en toda la historia de nuestro país. Gracias a Dios.
106,"Pasaron las semanas y la comunidad internacional jamás nos mostró un plan de seguridad con mejores resultados que el nuestro. Al parecer, nunca lo ha habido, en ninguna parte del mundo. Si lo hay, muéstrenlo; seguiremos esperando. Una vez lo podamos ver, nos cambiaremos a ese."
107,"Otro día sin homicidios en El Salvador… Y nadie en la “comunidad internacional” responde al reto de mostrarnos un plan de seguridad (uno solo) que haya tenido mejores resultados, en cualquier parte del mundo. Una vez lo muestren, nos cambiaremos a ese inmediatamente."
108,"Pasa otro día sin homicidios en El Salvador y nadie en la “comunidad internacional” respondió al reto de mostrarnos un tan solo plan de seguridad, en cualquier parte del mundo, con mejores resultados. Tal vez lo muestran mañana… Una vez lo muestren, nos cambiaremos a ese."
109,A la “comunidad internacional”: Muéstrenme un tan solo plan de seguridad en el mundo que haya tenido estos resultados y nos cambiaremos a ese. Uno solo.
110,Como dije antes: Los logros de El Salvador en seguridad son inéditos en la historia moderna de la humanidad.
111,"Hemos comenzado a entregar las becas presidenciales Roque Dalton. Pronto, miles de jóvenes salvadoreños tendrán TODO lo necesario para cumplir sus sueños."
112,Los logros de El Salvador en seguridad son inéditos en la historia moderna de la humanidad.
113,"¡Hey mom, I made it to the New York Times front page! Too bad people barely read it anymore 😢"
114,"Abril 2023 es el primer mes del Régimen de Excepción que puede compararse con el mismo mes del año anterior (abril 2022), estando ambos meses dentro del mismo régimen. Y las cifras lo confirman: la seguridad en nuestro país continúa mejorando con el paso del tiempo."
115,"Segundo día de abril con 0 homicidios. Como se puede ver en la gráfica, abril 2023 ya se compara con abril 2022, mes en el que ya estaba funcionando el Régimen de de Excepción."
116,"Por cierto, marzo 2023 cerró como el mes más seguro en toda la historia de El Salvador 🇸🇻"
117,"Un YouTuber venezolano vino a El Salvador a conocer, de primera mano, la opinión de los salvadoreños. Esto fue lo que encontró. P. D. No conozco al YouTuber; por lo que veo es bastante conocido; pero si no le cree, puede venir y hacer su propio video. https://piped.video/rEz-DAA1az0"
118,Gallup: Solo 1 de cada 100 salvadoreños cita la violencia como el principal problema del país. 1 DE CADA 100 En el que hasta hace unos años era el país más peligroso del mundo. Gracias a Dios.
119,"Nos llegan más fotografías de la embarcación, los narco traficantes y la droga incautada por nuestra Fuerza Naval. P. D. Las fotografías están en baja resolución porque son enviadas desde alta mar, por medio de un mensaje cifrado desde una radio militar."
120,"Nos llega la primera fotografía de nuestra Fuerza Naval con los 3 colombianos detenidos con el cargamento de cocaína. Sus nombres son: •Pedro Javier Rodas Bueno, de 27 años •Yerlin Caceres Palacios, de 33 años •Segundo Silvio Grueso Araujo, de 50 años"
121,"En el aniversario de la aprobación del Régimen de Excepción, cerramos el día con 0 homicidios. Seguiremos trabajando por la seguridad de los salvadoreños, aunque reclamen las ONGs de “derechos humanos”."
122,CC. @petrogustavo
123,Esta se convierte en la incautación de droga más lejana de la costa en la historia de El Salvador (963 kilómetros).
124,"Nuestra Fuerza Naval acaba de incautar un LPV a 520 Millas Náuticas de la Bocana el Cordoncillo, Estero de Jaltepeque, con 3 tripulantes de nacionalidad colombiana. Se estima que contiene aproximadamente 1.2 toneladas de cocaína, valoradas en unos 30 millones de dólares."
125,Hoy cumplimos un año de Régimen de Excepción 🇸🇻 Today marks one year since we implemented the State of Exception 🇸🇻
126,"Hace exactamente un año, cerrábamos el día con 62 homicidios. Ese fue uno de los días más difíciles de mi vida y de este Gobierno. Ahora, un año después, cerramos con 0 homicidios, y marzo 2023 se acerca a ser el mes más seguro de toda nuestra historia."
127,Legacy Media has gone full blown Kamikaze.
128,Is @TheEconomist saying that the murder rate staying down in El Salvador would be dangerous for democracy?
129,¿Con el torso desnudo? ¿Están diciendo que la malvada dictadura no le pone trajes de etiqueta a los presos? ¿Descalzos? ¡Ahorita mismo sacamos del presupuesto del hospital de niños para comprarles zapatos! ¿Qué marca creen que estaría bien?
130,"Este día, en un nuevo operativo, trasladamos al segundo grupo de 2,000 pandilleros al Centro de Confinamiento del Terrorismo (CECOT). Con esto, ya son 4,000 pandilleros los que habitan la cárcel más criticada del mundo."
131,Where were you when the gangs were killing our children?
132,Creo que iré de vacaciones a Colombia 🇨🇴
133,"¿Presunción de inocencia? Imagino que jamás ha acusado a ningún opositor suyo. Los colombianos sabrán si eso es verdad u otra mentira, que ya parece ser adicto a ellas. Además, fue usted quien me atacó (de nuevo) y a nuestros asuntos internos; yo ni recordaba su existencia."
134,"Pónganse de acuerdo. Primero acusa de tratos inhumanos y ahora hablan de “mejores condiciones”. Además, no entiendo su obsesión con El Salvador. ¿No es su hijo el que hace pactos bajo la mesa y además por dinero? ¿Todo bien en casa? 🙃"
135,"¿Cuántas décadas más, llenas de decenas de miles de muertos, deberíamos de haber aguantado los salvadoreños, para que las recetas de las ONGs y la “comunidad internacional”, comenzaran a funcionar?"
136,"The United States Government is putting PROVEN INNOCENTS in jail and is, at the same time, concerned about us putting PROVEN CRIMINALS in jail 🤷🏻‍♂️"
137,“He who spares the wolf sacrifices the sheep.”
138,📺
139,Why did we destroy the tombstones on the graves of gang members?
140,We sent prisoners to destroy all tombstones with gang symbolisms…
141,"Finalizamos el primer día de marzo del 2023 con 0 homicidios a nivel nacional. Hemos transformado el país más inseguro del mundo, en el más seguro de América Latina. Seguimos… #GuerraContraPandillas"
142,"¿Desde 1993? 30 años… ¿Usted gobernó 30 años? ¿Bogotá? ¿No es usted presidente de Colombia? Nuestra experiencia: De más de 100 homicidios por cada 100,000 habitantes, ahora estamos en cifras de un solo dígito. Y la reducción fue rápida, porque los muertos no se recuperan."
143,"Señor @petrogustavo, Los resultados pesan más que la retórica. Deseo que Colombia en realidad logre bajar los índices de homicidios, como lo hemos logrado los salvadoreños. Dios los bendiga."
144,“It’s a miracle political program”. https://piped.video/DpLciEz5HTU
145,This is what Salvadorans think about our government and our security measures according to Gallup:
146,Otra semana completa sin homicidios. Gracias a Dios. #GuerraContraPandillas
147,👀
148,“…in perhaps the history of mankind”.
149,"Vean a estos terroristas… ¿Ya no dan miedo verdad? ¡Exacto! Los criminales no causan ningún temor, una vez que son despojados de la protección del Estado y de los políticos corruptos y organismos internacionales que los financian y los defienden."
150,"El medio de comunicación oficial del Gobierno de los Estados Unidos dice que estos asesinos, condenados judicialmente por asesinar a miles de salvadoreños, son “presuntos pandilleros”. ¿Por qué defienden pandilleros públicamente? ¿Cuál es su interés en proteger criminales?"
151,"Hoy en la madrugada, en un solo operativo, trasladamos a los primeros 2,000 pandilleros al Centro de Confinamiento del Terrorismo (CECOT). Esta será su nueva casa, donde vivirán por décadas, mezclados, sin poder hacerle más daño a la población. Seguimos… #GuerraContraPandillas"
152,"So you’re saying that turning a country from the most violent on Earth to the safest in the Americas, getting rid of the criminals who extorted businesses and threatened tourists, and changing social incentives to promote honesty, may help the economy? 🤯 https://trib.al/eS8GNtj"
153,Told you so…
154,😍
155,"¡Hemos llegado a 300 días sin homicidios! Para ponerlo en contexto, el gobierno anterior no tuvo un tan solo día sin homicidios, y el anterior a ese, solo tuvo 1. 1 día sin homicidios en 10 años. Pero gracias a Dios, ahora vivimos en un país diferente. #GuerraContraPandillas"
156,Esto es lo que opinan los salvadoreños sobre nuestro Gobierno 🇸🇻 This is what Salvadorans think of our Government 🇸🇻
157,"Hasta este día, la tasa de homicidios anualizada de El Salvador es 1.8 por cada 100,000 habitantes. La más baja de toda América, por debajo de la de Canadá."
