No.,Texto
1,Esto no es cierto. La política del gobierno es el pago por erradicación voluntaria de cultivos de hoja y su sustitución por productos agroindustriales qué generen prosperidad en las comunidades
2,"En atención al fallo del Consejo de Estado, de fecha 6 de marzo de 2025, manifiesto: Hay quienes quieren que las injusticias se sigan perpetuando en nuestro país. Hay quienes quieren que no haya reivindicación para las víctimas. Hay quienes quieren seguir levantando los fusiles. Hay todavía victimarios que rechazan el progresismo. Pero esos no son todos los marchantes. Siempre impulsaré a fortalecer el debate público y promover una discusión profunda sobre la reformas y los desafíos que enfrenta nuestra Nación.

Como señalé en mi mensaje de la red social X del 23 de noviembre de 2024:

“Pueden marchar porque lo vamos a permitir. Ni una mujer violada, ni un gas lacrimógeno, ningún joven con sus ojos destrozados, ninguna tortura, ni miles de detenidos. 

Sientan mis queridos y queridas manifestantes que es vivir en democracia”. 

Siempre he ordenado la protección por parte del Estado para quienes en el ejercicio legítimo de sus derechos fundamentales contribuyen al debate público. He sostenido que el debate político debe darse en las calles, en las plazas, y no en los estrados  judiciales. 

Mis excusas para quienes no lo han podido hacer de esta manera."
3,"En atención a la sentencia del CE del 14 de febrero de 2025, preciso que: El secuestro y asesinato de Gloria Lara de Echeverri en 1982 representa la impunidad judicial en Colombia, al no existir aún condenados y habiéndose declarado la prescripción de la acción penal, porque para la Corte Suprema de Justicia de entones no se trató de un caso de lesa humanidad. 

Mi mensaje del 14 de junio de 2024, pronunciado en la Universidad Sueca de Defensa, fue un testimonio profundo y sincero de lo que he defendido con firmeza durante toda mi vida: el derecho de las víctimas de este país a la verdad, la justicia y la reparación. Este mensaje tiene un peso especial, pues está marcado por la memoria de mi amigo Enán Lora Mendoza, quien, al igual que tantas otras víctimas, fue acusado y asesinado injustamente. Enán no fue solo una víctima de este proceso judicial erróneo; su caso encarna la corrupción de un sistema que, al cerrar los ojos ante la verdad, destruyó la vida de un ser humano. Junto a él, Jaime Gómez, un investigador que dedicó su carrera a desentrañar los oscuros hilos de una conspiración política que desvió el curso de la justicia en el caso de Gloria Lara, también fue desaparecido, su cuerpo fue encontrado sin vida en el parque nacional, dejando un sinfín de preguntas y dolorosos silencios.

Mis palabras fueron descontextualizadas. Mi intervención no tenía como propósito hacer imputaciones directas o específicas a personas en particular, menos a los familiares de Gloria Lara de Echeverri, quienes también son víctimas. Por ello, con sincero sentimiento y entendiendo el alcance del caso, en mi gobierno el 12 de diciembre de 2023 se suscribió el “Acuerdo de Solución Amistosa” en el marco de la Comisión Interamericana de Derechos Humanos (CIDH) y el 24 de mayo de 2024, se llevó a cabo el acto de reconocimiento de responsabilidad internacional por parte de Estado, allí recalcamos la ausencia de garantías judiciales en el marco de las investigaciones que se desarrollaron y la impunidad en la que se encuentra este caso.

El Estado colombiano les debe pedir disculpas por la eterna impunidad. Mi compromiso y solidaridad con todas las víctimas."
4,Solicito a @PoliciaColombia la máxima dedicación para esclarecer este crimen brutal
5,La superintendencia de vigilancia desde 1993 no ha dejado de construir paramilitarismo y apoyado desde el estado la construcción del crimen y la inseguridad Solo hasta ahora empieza la investigación de la verdad.
6,La superintendencia de vigilancia dese 1993 no ha dejado de construir paramilitarismo y apoyado desde el estado la construcción del crimen y la inseguridad Solo hasta ahora empieza la investigación de la verdad.
7,"Desde 1993 la superintendencia ha sido eje de la configuración del paramilitarismo y el crimen. No hay control sobre 63.000 armas de 197 empresas de vigilancia, a las que se les dio licencia y no existen rastros en los archivos de la super. A los capos capturados siempre se les encuentran escoltas de estas empresas de seguridad."
8,El crimen en Bello. Eliminar violentamente la diferencia se llama fascismo.
9,"Mis palabras en el avance de paz en Nariño y la entrega de una tonelada de armas del frente ""Comuneros del sur"" que fueron destruidas."
10,"Gracias Nariño, que la paz prospere en su territorio."
