final,var1,var2,var3,var4
ELN,ejército de liberación nacional,,,
Estados Unidos,EEUU,estados unidos de américa,,
policía nacional,@PoliciaColombia,@PoliciaBogota,la policía,policía de colombia
EMC,Estado Mayor Central,EMC-FARC,,
armada nacional,la armada,armada colombiana,armada de colombia,fuerza naval
farc,frente33,,,
américa latina,america latina,,,
cidh,comisión interamericana de derechos humanos,corte interamericana de derechos humanos,,
jóvenes,jóvenes,,,
san vicente del caguán,san vicente,,,
la república de panamá,panamá,,,
maría fernanda,maria fernanda,,,
jep,justicia especial para la paz,,,
derechos humanos,ddhh,,,
pacto san josé ddhh,convención americana de los derechos humanos,,,
álvaro uribe,uribe,álvaro uribe vélez,,
cai,cais,,,
marihuana,cannabis,,,
narcotráfico,narcotrafico,,,
amlo,manuel lopez obrador,,,
onu,naciones unidas,,,
@fiscaliaCol,fiscalía general,,,
pedro sanchez,presidente sanchez,,,
fuerza aérea,@FuerzaAereaCol,,,
grupos armados organizados,gaor,,,
carlos pizarro,comandante pizarro,,,
clan del golfo,el clan,,,
